File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
1604023,04/25/2016,2016,4,2000 BLOCK,E Vermont Av,04/25/2016,Weeds/Grass,Owner Abated,05/03/2016,Not Available,false,0,"2000 E Vermont Av
Urbana, IL
(40.101025624, -88.182795599)"
23-000019,01/04/2023,2023,1,300 Block,South Cedar Street,01/04/2023,Municipal Waste,Voluntarily Complied,01/12/2023,Phone,false,0,"300 South Cedar Street
Urbana, IL
(40.110674726, -88.21026252)"
1208041,08/14/2012,2012,8,900 BLOCK,S Lierman Av,08/15/2012,Municipal Waste,Owner Abated,08/23/2012,Not Available,false,0,"900 S Lierman Av
Urbana, IL
(40.105613426, -88.188574147)"
1607028,07/27/2016,2016,7,900 BLOCK,N Gregory St,07/27/2016,Municipal Waste,Owner Abated,08/04/2016,Not Available,false,0,"900 N Gregory St
Urbana, IL
(40.12010762, -88.221005483)"
23-001135,05/08/2023,2023,5,400 Block,East Washington Street,05/08/2023,Municipal Waste,Voluntarily Complied,07/10/2023,Phone,false,0,"400 East Washington Street
Urbana, IL
(40.10569856, -88.203526806)"
1304006,04/08/2013,2013,4,600 BLOCK,W Ohio St,04/08/2013,Municipal Waste,Owner Abated,04/16/2013,Not Available,false,0,"600 W Ohio St
Urbana, IL
(40.103786842, -88.214475538)"
907030,07/16/2009,2009,7,2300 BLOCK,Rainbow View Dr,07/17/2009,Weeds/Grass,Owner Abated,07/25/2009,Not Available,false,0,"2300 Rainbow View Dr
Urbana, IL
(40.104067308, -88.177246815)"
408028,08/05/2004,2004,8,500 BLOCK,W High St,,Municipal Waste,Owner Abated,,Not Available,false,0,"500 W High St
Urbana, IL
(40.109926211, -88.21322635)"
1405061,05/21/2014,2014,5,1400 BLOCK,E Pennyslvania Av,05/21/2014,Weeds/Grass,Owner Abated,05/29/2014,Not Available,false,0,"1400 E Pennyslvania Av
Urbana, IL
(40.099337668, -88.192003586)"
708048,08/14/2007,2007,8,900 BLOCK,N Linview Av,08/15/2007,Weeds/Grass,City Abated,08/23/2007,Not Available,false,0,"900 N Linview Av
Urbana, IL
(40.120137302, -88.218065102)"
1401001,01/08/2014,2014,1,1900 BLOCK,S George Huff Dr,01/08/2014,Municipal Waste,Owner Abated,01/16/2014,Not Available,false,0,"1900 S George Huff Dr
Urbana, IL
(40.094621716, -88.202556391)"
22-002745,08/25/2022,2022,8,2200 Block,East Rainbow View,08/25/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,false,0,"2200 East Rainbow View
Urbana, IL
(40.103555575, -88.17929298)"
1106057,06/23/2011,2011,6,800 BLOCK,W Stoughton St,06/23/2011,Weeds/Grass,City Abated,07/01/2011,Not Available,false,0,"800 W Stoughton St
Urbana, IL
(40.113456135, -88.217761177)"
807045,07/28/2008,2008,7,300 BLOCK,S Cottage Grove Av,,Weeds/Grass,Invalid,,Not Available,false,0,"300 S Cottage Grove Av
Urbana, IL
(40.110893859, -88.195673666)"
1305036,05/08/2013,2013,5,900 BLOCK,N Busey Av,05/08/2013,Weeds/Grass,Owner Abated,05/16/2013,Not Available,false,0,"900 N Busey Av
Urbana, IL
(40.120137906, -88.216875838)"
906034,06/15/2009,2009,6,2100 BLOCK,S Burlison Dr,06/16/2009,Weeds/Grass,Owner Abated,06/24/2009,Not Available,false,0,"2100 S Burlison Dr
Urbana, IL
(40.090923877, -88.205363636)"
20-000731,05/11/2020,2020,5,1900 Block,East Florida Avenue,05/11/2020,Weeds/Grass,Voluntarily Complied,05/19/2020,Phone,false,0,"1900 East Florida Avenue
Urbana, IL
(40.098852433, -88.183326163)"
18-000440,05/07/2018,2018,5,900 Block,E Main Street,05/08/2018,Municipal Waste,Voluntarily Complied,05/21/2018,Email,false,0,"900 E Main Street
Urbana, IL
(40.113035827, -88.197763204)"
807039,07/28/2008,2008,7,100 BLOCK,S Lynn St,07/29/2008,Weeds/Grass,City Abated,08/06/2008,Not Available,false,0,"100 S Lynn St
Urbana, IL
(40.112923065, -88.197764581)"
1304008,04/11/2013,2013,4,1000 BLOCK,S Philo Rd,04/11/2013,Municipal Waste,Owner Abated,04/19/2013,Not Available,false,0,"1000 S Philo Rd
Urbana, IL
(40.104703955, -88.193254211)"
305021,05/06/2003,2003,5,1200 BLOCK,E Fairlawn Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1200 E Fairlawn Dr
Urbana, IL
(40.102487277, -88.194485068)"
1108074,08/31/2011,2011,8,200 BLOCK,W High St,09/01/2011,Municipal Waste,Owner Abated,09/09/2011,Not Available,false,0,"200 W High St
Urbana, IL
(40.109986214, -88.208966293)"
312028,12/16/2003,2003,12,1200 BLOCK,W Church St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 W Church St
Urbana, IL
(40.118350878, -88.224119964)"
20-001254,07/08/2020,2020,7,2700 Block,East Castlerock Drive,,,City Abated,07/09/2020,Internet,true,0,"2700 East Castlerock Drive
Urbana, IL
(40.091637933, -88.171531338)"
705089,05/22/2007,2007,5,500 BLOCK,W Stoughton St,05/23/2007,Weeds/Grass,Owner Abated,05/31/2007,Not Available,false,0,"500 W Stoughton St
Urbana, IL
(40.113046876, -88.213316396)"
1405056,05/20/2014,2014,5,1000 BLOCK,N Lincoln Av,05/20/2014,Municipal Waste,Owner Abated,05/28/2014,Not Available,false,0,"1000 N Lincoln Av
Urbana, IL
(40.121006247, -88.219380051)"
18-000569,05/25/2018,2018,5,1100 Block,E Mitchem Drive,05/25/2018,Weeds/Grass,Voluntarily Complied,06/06/2018,Phone,false,0,"1100 E Mitchem Drive
Urbana, IL
(40.092440925, -88.195488563)"
912006,12/11/2009,2009,12,1400 BLOCK,W Beslin St,12/11/2009,Municipal Waste,City Abated,12/11/2009,Not Available,false,0,"1400 W Beslin St
Urbana, IL
(40.120336848, -88.227205544)"
19-002375,11/08/2019,2019,11,600 Block,West Nevada Street,11/08/2019,Municipal Waste,Voluntarily Complied,11/18/2019,Phone,false,0,"600 West Nevada Street
Urbana, IL
(40.1065971, -88.214575049)"
409047,09/16/2004,2004,9,200 BLOCK,N Coler Ave,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 N Coler Ave
Urbana, IL
(40.11320807, -88.215914678)"
23-000740,03/31/2023,2023,3,1500 Block,South Curtiss Drive,,Zoning,Voluntarily Complied,04/17/2023,Phone,false,0,"1500 South Curtiss Drive
Urbana, IL
(40.10097513, -88.184542005)"
1405005,05/08/2014,2014,5,800 BLOCK,N Coler Av,05/08/2014,Municipal Waste,Owner Abated,05/16/2014,Not Available,false,0,"800 N Coler Av
Urbana, IL
(40.119234114, -88.215600218)"
908013,08/05/2009,2009,8,800 BLOCK,W Stoughton St,08/06/2009,Weeds/Grass,Owner Abated,08/14/2009,Not Available,false,0,"800 W Stoughton St
Urbana, IL
(40.113456135, -88.217761177)"
1005035,05/11/2010,2010,5,200 BLOCK,E Crystal Lake Dr,05/12/2010,Municipal Waste,Owner Abated,05/20/2010,Not Available,false,0,"200 E Crystal Lake Dr
Urbana, IL
(40.118930976, -88.206214162)"
22-001485,05/26/2022,2022,5,1400 Block,South Ogelthorpe Avenue,05/26/2022,Weeds/Grass,City Abated,07/20/2022,Phone,false,382.5,"1400 South Ogelthorpe Avenue
Urbana, IL
(40.101793302, -88.174854293)"
1707039,07/31/2017,2017,7,300 BLOCK,W California Av,07/31/2017,Weeds/Grass,Owner Abated,08/08/2017,Not Available,false,0,"300 W California Av
Urbana, IL
(40.10842674, -88.210385603)"
20-000818,05/19/2020,2020,5,600 Block,"South ""Cottage Grove"" Avenue",05/19/2020,Weeds/Grass,Voluntarily Complied,05/27/2020,Phone,false,0,"600 South Cottage Grove Avenue
Urbana, IL
(40.108493807, -88.195603619)"
1006087,06/15/2010,2010,6,100 BLOCK,W Franlin St,06/16/2010,Municipal Waste,Owner Abated,06/24/2010,Not Available,false,0,"100 W Franlin St
Urbana, IL
(40.120685964, -88.207696596)"
19-002066,09/26/2019,2019,9,400 Block,East Main Street,09/26/2019,Weeds/Grass,City Abated,10/16/2019,Phone,false,266,"400 East Main Street
Urbana, IL
(40.112608305, -88.203733001)"
1208053,08/20/2012,2012,8,1900 BLOCK,Kathryn St,08/21/2012,Weeds/Grass,Owner Abated,08/29/2012,Not Available,false,0,"1900 Kathryn St
Urbana, IL
(40.09428191, -88.181816157)"
605091,05/16/2006,2006,5,300 BLOCK,W Elm St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"300 W Elm St
Urbana, IL
(40.111626225, -88.210436303)"
1708033,08/24/2017,2017,8,1900 BLOCK,Anderson St,08/24/2017,Weeds/Grass,Owner Abated,09/01/2017,Not Available,false,0,"1900 Anderson St
Urbana, IL
(40.094652701, -88.198545103)"
407078,07/26/2004,2004,7,1400 BLOCK,E Briarcliff Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1400 E Briarcliff Dr
Urbana, IL
(40.100155838, -88.192007072)"
1205071,05/11/2012,2012,5,1300 BLOCK,E Silver St,05/11/2012,Weeds/Grass,Owner Abated,05/19/2012,Not Available,false,0,"1300 E Silver St
Urbana, IL
(40.091547301, -88.192955131)"
1109081,09/27/2011,2011,9,800 BLOCK,W Oregon St,09/28/2011,Weeds/Grass,Owner Abated,10/06/2011,Not Available,false,0,"800 W Oregon St
Urbana, IL
(40.107485366, -88.217757378)"
20-002375,12/01/2020,2020,12,500 Block,West Springfield Avenue,12/01/2020,Municipal Waste,Voluntarily Complied,12/09/2020,Phone,false,0,"500 West Springfield Avenue
Urbana, IL
(40.112407301, -88.213274904)"
609008,09/07/2006,2006,9,1400 BLOCK,E Mumford Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1400 E Mumford Dr
Urbana, IL
(40.09074729, -88.191635066)"
1210003,10/02/2012,2012,10,1200 BLOCK,W Hill St,10/03/2012,Weeds/Grass,Owner Abated,10/11/2012,Not Available,false,0,"1200 W Hill St
Urbana, IL
(40.119396844, -88.224145499)"
22-002934,09/12/2022,2022,9,1300 Block,East Pennsylvania Avenue,,,Voluntarily Complied,10/10/2022,Phone,false,0,"1300 East Pennsylvania Avenue
Urbana, IL
(40.099672753, -88.1931483)"
18-000725,07/05/2018,2018,7,1200 Block,East Florida Avenue,07/05/2018,Municipal Waste,Voluntarily Complied,10/31/2018,Phone,false,0,"1200 East Florida Avenue
Urbana, IL
(40.098437309, -88.194059801)"
1305116,05/16/2013,2013,5,400 BLOCK,W California Av,05/16/2013,Weeds/Grass,Owner Abated,05/24/2013,Not Available,false,0,"400 W California Av
Urbana, IL
(40.108416783, -88.211775552)"
23-001022,04/25/2023,2023,4,2300 Block,South Vine Street,04/25/2023,Weeds/Grass,Voluntarily Complied,05/08/2023,,false,0,"2300 South Vine Street
Urbana, IL
(40.087371163, -88.203614689)"
908077,08/31/2009,2009,8,800 BLOCK,S Anderson St,09/01/2009,Weeds/Grass,City Abated,09/09/2009,Not Available,false,0,"800 S Anderson St
Urbana, IL
(40.106680704, -88.200154994)"
1205025,05/03/2012,2012,5,2300 BLOCK,E Main St,05/03/2012,Weeds/Grass,City Abated,05/11/2012,Not Available,false,0,"2300 E Main St
Urbana, IL
(40.113048057, -88.178366065)"
22-002881,09/06/2022,2022,9,700 Block,West High Street,09/06/2022,Municipal Waste,Voluntarily Complied,09/14/2022,Phone,false,0,"700 West High Street
Urbana, IL
(40.10988641, -88.216066025)"
22-003304,10/19/2022,2022,10,700 Block,West California Avenue,,Municipal Waste,Voluntarily Complied,12/28/2022,Phone,false,0,"700 West California Avenue
Urbana, IL
(40.108356404, -88.216066042)"
804003,04/04/2008,2008,4,1400 BLOCK,E Laurel Dr,04/07/2008,Municipal Waste,Owner Abated,04/15/2008,Not Available,false,0,"1400 E Laurel Dr
Urbana, IL
(40.100948454, -88.191906417)"
20-000870,05/26/2020,2020,5,400 Block,West Green Street,05/26/2020,Weeds/Grass,Voluntarily Complied,06/03/2020,Phone,false,0,"400 West Green Street
Urbana, IL
(40.110765647, -88.211857023)"
311038,11/24/2003,2003,11,1200 BLOCK,W Eads St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.123186835, -88.224245514)"
22-001048,05/09/2022,2022,5,900 Block,East Illinois Street,05/09/2022,Weeds/Grass,Voluntarily Complied,05/17/2022,Phone,false,0,"900 East Illinois Street
Urbana, IL
(40.109438118, -88.197656182)"
20-000726,05/11/2020,2020,5,1300 Block,West Beech Street,05/11/2020,Weeds/Grass,Voluntarily Complied,07/07/2020,Phone,false,0,"1300 West Beech Street
Urbana, IL
(40.122227288, -88.225824887)"
17-000420,12/15/2017,2017,12,600 Block,W California Avenue,12/15/2017,,Voluntarily Complied,10/31/2018,Phone,false,0,"600 W California Avenue
Urbana, IL
(40.108376282, -88.214556185)"
905089,05/22/2009,2009,5,100 BLOCK,Crystal Lake Dr,05/22/2009,Weeds/Grass,Owner Abated,05/30/2009,Not Available,false,0,"100 Crystal Lake Dr
Urbana, IL
(40.118918066, -88.207496098)"
711012,11/14/2007,2007,11,1300 BLOCK,E Laurel Dr,11/15/2007,Weeds/Grass,Owner Abated,11/23/2007,Not Available,false,0,"1300 E Laurel Dr
Urbana, IL
(40.101485639, -88.192734229)"
505011,05/04/2005,2005,5,1300 BLOCK,W Ellis Dr,,Municipal Waste,Owner Abated,,Not Available,false,0,"1300 W Ellis Dr
Urbana, IL
(40.124096463, -88.225825955)"
311046,11/25/2003,2003,11,1000 BLOCK,N Lincoln Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 N Lincoln Av
Urbana, IL
(40.121006247, -88.219380051)"
1608055,08/23/2016,2016,8,700 BLOCK,W High St,08/23/2016,Municipal Waste,Owner Abated,08/31/2016,Not Available,false,0,"700 W High St
Urbana, IL
(40.10988641, -88.216066025)"
707002,07/06/2007,2007,7,2700 BLOCK,E Coddinton Ct.,07/06/2007,Weeds/Grass,Owner Abated,07/14/2007,Not Available,false,0,"2700 E Coddinton Ct
Urbana, IL
(40.114360489, -88.171457143)"
1506073,06/25/2015,2015,6,900 BLOCK,N Gregory St,06/25/2015,Municipal Waste,Owner Abated,07/03/2015,Not Available,false,0,"900 N Gregory St
Urbana, IL
(40.12010762, -88.221005483)"
903013,03/04/2009,2009,3,2200 BLOCK,E Easy St,03/05/2009,Weeds/Grass,Owner Abated,03/13/2009,Not Available,false,0,"2200 E Easy St
Urbana, IL
(40.104914498, -88.179378921)"
1005086,05/19/2010,2010,5,900 BLOCK,E Oregon St,05/20/2010,Weeds/Grass,Owner Abated,05/28/2010,Not Available,false,0,"900 E Oregon St
Urbana, IL
(40.10778728, -88.19785509)"
1010060,10/27/2010,2010,10,700 BLOCK,W Oregon St,10/28/2010,Municipal Waste,Owner Abated,11/05/2010,Not Available,false,0,"700 W Oregon St
Urbana, IL
(40.107629988, -88.216224009)"
404002,04/05/2004,2004,4,200 BLOCK,N Wood St,,Municipal Waste,City Abated,,Not Available,false,0,"200 N Wood St
Urbana, IL
(40.113573758, -88.210240841)"
1508027,08/11/2015,2015,8,700 BLOCK,W Nevada St,08/11/2015,Municipal Waste,Owner Abated,08/19/2015,Not Available,false,0,"700 W Nevada St
Urbana, IL
(40.106576405, -88.216066063)"
22-001413,05/24/2022,2022,5,300 Block,South McCullough Street,05/24/2022,Weeds/Grass,City Abated,10/04/2022,Phone,false,216.5,"300 South McCullough Street
Urbana, IL
(40.110623598, -88.213083932)"
22-000699,04/01/2022,2022,4,500 Block,West Illinois Street,04/01/2022,Municipal Waste,Voluntarily Complied,04/11/2022,City Staff Reported,false,0,"500 West Illinois Street
Urbana, IL
(40.109226188, -88.213216301)"
1305078,05/14/2013,2013,5,2700 BLOCK,E Florida Av,05/14/2013,Weeds/Grass,Owner Abated,05/22/2013,Not Available,false,0,"2700 E Florida Av
Urbana, IL
(40.09853812, -88.172546186)"
1006037,06/07/2010,2010,6,0 BLOCK,Rainbow Ct.,06/08/2010,Weeds/Grass,City Abated,06/16/2010,Not Available,false,0,"0 Rainbow Ct
Urbana, IL
(40.103370012, -88.183830007)"
1506028,06/11/2015,2015,6,2000 BLOCK,E Easy St,06/11/2015,Weeds/Grass,Owner Abated,06/19/2015,Not Available,false,0,"2000 E Easy St
Urbana, IL
(40.105027287, -88.183069265)"
20-002106,10/15/2020,2020,10,700 Block,East University Avenue,10/15/2020,Municipal Waste,Voluntarily Complied,10/23/2020,Phone,false,0,"700 East University Avenue
Urbana, IL
(40.116378041, -88.200496019)"
1209044,09/18/2012,2012,9,1100 BLOCK,W Pennsylvania Av,09/18/2012,Municipal Waste,Owner Abated,09/26/2012,Not Available,false,0,"1100 W Pennsylvania Av
Urbana, IL
(40.100696711, -88.222925629)"
507030,07/19/2005,2005,7,800 BLOCK,E California Av,,Weeds/Grass,City Abated,,Not Available,false,0,"800 E California Av
Urbana, IL
(40.108597948, -88.198995959)"
22-002077,06/23/2022,2022,6,1300 Block,South Vine Street,06/23/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,false,0,"1300 South Vine Street
Urbana, IL
(40.101942694, -88.204885083)"
1609024,09/01/2016,2016,9,200 BLOCK,N Busey Av,09/01/2016,Weeds/Grass,City Abated,09/01/2016,Not Available,false,0,"200 N Busey Av
Urbana, IL
(40.113435512, -88.217612328)"
1309026,09/17/2013,2013,9,200 BLOCK,Crystal Lake Dr,09/17/2013,Municipal Waste,Owner Abated,09/25/2013,Not Available,false,0,"200 Crystal Lake Dr
Urbana, IL
(40.118930976, -88.206214162)"
308010,08/05/2003,2003,8,800 BLOCK,S Grove St,,Weeds/Grass,City Abated,,Not Available,false,0,"800 S Grove St
Urbana, IL
(40.106671141, -88.201204905)"
1608023,08/08/2016,2016,8,300 BLOCK,E Pennsylvania Av,08/08/2016,Weeds/Grass,Owner Abated,08/16/2016,Not Available,false,0,"300 E Pennsylvania Av
Urbana, IL
(40.100836728, -88.20487437)"
605024,05/03/2006,2006,5,1100 BLOCK,S Country Squire,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1100 S Country
Squire Urbana, IL
(40.103773942, -88.185513519)"
407030,07/13/2004,2004,7,1300 BLOCK,E Fairlawn Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1300 E Fairlawn Dr
Urbana, IL
(40.102487277, -88.193425093)"
808001,08/01/2008,2008,8,1100 BLOCK,W Main St,08/04/2008,Municipal Waste,Owner Abated,08/12/2008,Not Available,false,0,"1100 W Main St
Urbana, IL
(40.11457683, -88.222465508)"
23-002441,08/21/2023,2023,8,1000 Block,East Main Street,08/21/2023,Municipal Waste,Voluntarily Complied,08/29/2023,Phone,false,0,"1000 East Main Street
Urbana, IL
(40.113017294, -88.19672512)"
23-002566,08/30/2023,2023,8,2000 Block,"South ""George Huff"" Drive",08/30/2023,Weeds/Grass,Voluntarily Complied,09/07/2023,Phone,false,0,"2000 South George Huff Drive
Urbana, IL
(40.093731217, -88.202577119)"
22-002679,08/19/2022,2022,8,1000 Block,East Mumford Drive,08/19/2022,Weeds/Grass,Voluntarily Complied,08/29/2022,Phone,false,0,"1000 East Mumford Drive
Urbana, IL
(40.090737316, -88.196274216)"
503023,03/30/2005,2005,3,1200 BLOCK,E Florida Av,,Municipal Waste,City Abated,,Not Available,false,0,"1200 E Florida Av
Urbana, IL
(40.098437309, -88.194059801)"
610003,10/03/2006,2006,10,1300 BLOCK,W Beech St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1300 W Beech St
Urbana, IL
(40.122227288, -88.225824887)"
1208007,08/03/2012,2012,8,2200 BLOCK,Vawter St,08/03/2012,Municipal Waste,City Abated,08/11/2012,Not Available,false,0,"2200 Vawter St
Urbana, IL
(40.089843561, -88.191633966)"
504046,04/28/2005,2005,4,100 BLOCK,W Iowa St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"100 W Iowa St
Urbana, IL
(40.104586018, -88.207596512)"
23-000460,02/28/2023,2023,2,100 Block,North Poplar Street,,,Addressed under different complaint file,03/06/2023,Internet,true,0,"100 North Poplar Street
Urbana, IL
(40.113029018, -88.194577379)"
23-002284,08/08/2023,2023,8,600 Block,South Johnson Avenue,08/08/2023,Weeds/Grass,Voluntarily Complied,08/16/2023,Phone,false,0,"600 South Johnson Avenue
Urbana, IL
(40.108492155, -88.196715774)"
806009,06/03/2008,2008,6,600 BLOCK,W Indiana Av,06/04/2008,Weeds/Grass,Owner Abated,06/12/2008,Not Available,false,0,"600 W Indiana Av
Urbana, IL
(40.102876583, -88.21447584)"
1508062,08/27/2015,2015,8,1000 BLOCK,S Busey Av,08/27/2015,Municipal Waste,Owner Abated,09/04/2015,Not Available,false,0,"1000 S Busey Av
Urbana, IL
(40.104603153, -88.217554482)"
1111004,11/01/2011,2011,11,1900 BLOCK,Summit Dr,11/02/2011,Weeds/Grass,Owner Abated,11/10/2011,Not Available,false,0,"1900 Summit Dr
Urbana, IL
(40.083320438, -88.183911888)"
1406003,06/02/2014,2014,6,1600 BLOCK,E Hunter St,06/02/2014,Weeds/Grass,Owner Abated,06/10/2014,Not Available,false,0,"1600 E Hunter St
Urbana, IL
(40.10387729, -88.188545063)"
1205095,05/17/2012,2012,5,1300 BLOCK,N Goodwin Av,05/17/2012,Weeds/Grass,City Abated,05/25/2012,Not Available,false,0,"1300 N Goodwin Av
Urbana, IL
(40.124112304, -88.224092227)"
1406071,06/30/2014,2014,6,1700 BLOCK,E Briarcliff Dr,06/30/2014,Weeds/Grass,City Abated,07/08/2014,Not Available,false,0,"1700 E Briarcliff Dr
Urbana, IL
(40.09903389, -88.188584155)"
