,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
3,23-001291,05/15/2023,2023,5,900 Block,East University Avenue,05/15/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,202.5,"900 East University Avenue
Urbana, IL
(40.116384495, -88.19727158)",40.116384495,-88.19727158
4,23-001177,05/09/2023,2023,5,1 Block,Penn Court,05/09/2023,Weeds/Grass,Voluntarily Complied,05/17/2023,Phone,False,0.0,"1 Penn Court
Urbana, IL
(40.100998981, -88.197151994)",40.100998981,-88.197151994
5,23-000604,03/16/2023,2023,3,100 Block,South Lynn Street,03/16/2023,Municipal Waste,Voluntarily Complied,03/24/2023,Phone,False,0.0,"100 South Lynn Street
Urbana, IL
(40.112923065, -88.197764581)",40.112923065,-88.197764581
9,21-002456,10/18/2021,2021,10,2000 Block,South Philo Road,10/18/2021,Municipal Waste,Voluntarily Complied,01/04/2022,Phone,False,0.0,"2000 South Philo Road
Urbana, IL
(40.093804007, -88.19057341)",40.093804007,-88.19057341
10,21-002348,10/04/2021,2021,10,2300 Block,East Rainbow View,10/04/2021,Municipal Waste,Voluntarily Complied,10/12/2021,Phone,False,0.0,"2300 East Rainbow View
Urbana, IL
(40.104067308, -88.177246815)",40.104067308,-88.177246815
11,21-001049,05/20/2021,2021,5,1900 Block,East Galena Street,05/20/2021,Weeds/Grass,City Abated,09/28/2021,Phone,False,382.5,"1900 East Galena Street
Urbana, IL
(40.081397412, -88.183472716)",40.081397412,-88.183472716
12,20-002042,10/08/2020,2020,10,800 Block,West Church Street,10/08/2020,Municipal Waste,Voluntarily Complied,10/16/2020,Phone,False,0.0,"800 West Church Street
Urbana, IL
(40.118376383, -88.217046118)",40.118376383,-88.217046118
13,19-001999,09/17/2019,2019,9,300 Block,West Illinois Street,09/17/2019,Municipal Waste,City Abated,09/30/2019,Phone,False,730.0,"300 West Illinois Street
Urbana, IL
(40.109370994, -88.210472012)",40.109370994,-88.210472012
14,1010013,10/07/2010,2010,10,1100 BLOCK,S Lanore Dr,10/08/2010,Weeds/Grass,City Abated,10/16/2010,Not Available,False,0.0,"1100 S Lanore Dr
Urbana, IL
(40.103773967, -88.18651345)",40.103773967,-88.18651345
18,906017,06/03/2009,2009,6,800 BLOCK,W Iowa St,06/04/2009,Municipal Waste,Owner Abated,06/12/2009,Not Available,False,0.0,"800 W Iowa St
Urbana, IL
(40.104716333, -88.21770612)",40.104716333,-88.21770612
21,707045,07/23/2007,2007,7,400 BLOCK,N Race St,07/24/2007,Weeds/Grass,City Abated,08/01/2007,Not Available,False,0.0,"400 N Race St
Urbana, IL
(40.115028401, -88.208906615)",40.115028401,-88.208906615
23,21-000899,05/06/2021,2021,5,700 Block,South Race Street,05/06/2021,Weeds/Grass,Voluntarily Complied,05/19/2021,Phone,False,0.0,"700 South Race Street
Urbana, IL
(40.107554045, -88.20875337)",40.107554045,-88.20875337
24,810047,10/29/2008,2008,10,300 BLOCK,E Kerr Av,10/30/2008,Weeds/Grass,Owner Abated,11/07/2008,Not Available,False,0.0,"300 E Kerr Av
Urbana, IL
(40.122038136, -88.205226124)",40.122038136,-88.205226124
26,23-000032,01/06/2023,2023,1,1100 Block,North Division Avenue,01/06/2023,Municipal Waste,Voluntarily Complied,04/12/2023,Phone,False,0.0,"1100 North Division Avenue
Urbana, IL
(40.122894299, -88.205240182)",40.122894299,-88.205240182
27,23-003446,11/16/2023,2023,11,1600 Block,South Wiley Drive,11/16/2023,Municipal Waste,Voluntarily Complied,11/27/2023,Phone,False,0.0,"1600 South Wiley Drive
Urbana, IL
(40.099133239, -88.197804367)",40.099133239,-88.197804367
29,1408074,08/20/2014,2014,8,1000 BLOCK,N Goodwin Av,08/20/2014,Weeds/Grass,City Abated,08/28/2014,Not Available,False,0.0,"1000 N Goodwin Av
Urbana, IL
(40.121318263, -88.224066307)",40.121318263,-88.224066307
30,1309010,09/06/2013,2013,9,700 BLOCK,W Nevada St,09/06/2013,Municipal Waste,Owner Abated,09/14/2013,Not Available,False,0.0,"700 W Nevada St
Urbana, IL
(40.106576405, -88.216066063)",40.106576405,-88.216066063
31,1010042,10/14/2010,2010,10,2400 BLOCK,E Florida Av,10/15/2010,Weeds/Grass,Owner Abated,10/23/2010,Not Available,False,0.0,"2400 E Florida Av
Urbana, IL
(40.098625445, -88.176311937)",40.098625445,-88.176311937
32,1405014,05/12/2014,2014,5,2000 BLOCK,Weaver St,05/12/2014,Weeds/Grass,City Abated,05/20/2014,Not Available,False,0.0,"2000 Weaver St
Urbana, IL
(40.103903908, -88.182724191)",40.103903908,-88.182724191
35,21-000667,04/05/2021,2021,4,600 Block,"South ""Cottage Grove"" Avenue",04/05/2021,Municipal Waste,Voluntarily Complied,04/13/2021,Phone,False,0.0,"600 South Cottage Grove Avenue
Urbana, IL
(40.108493807, -88.195603619)",40.108493807,-88.195603619
36,909022,09/10/2009,2009,9,300 BLOCK,E Kerr Av,09/11/2009,Weeds/Grass,Owner Abated,09/19/2009,Not Available,False,0.0,"300 E Kerr Av
Urbana, IL
(40.122038136, -88.205226124)",40.122038136,-88.205226124
37,19-001441,07/15/2019,2019,7,800 Block,East Park Street,07/15/2019,Weeds/Grass,Voluntarily Complied,08/13/2019,Phone,False,0.0,"800 East Park Street
Urbana, IL
(40.117296824, -88.198834469)",40.117296824,-88.198834469
38,901026,01/20/2009,2009,1,700 BLOCK,E Harding Dr,01/21/2009,Municipal Waste,City Abated,01/29/2009,Not Available,False,0.0,"700 E Harding Dr
Urbana, IL
(40.093932127, -88.198559532)",40.093932127,-88.198559532
39,1408030,08/11/2014,2014,8,1600 BLOCK,S Smith Rd,08/11/2014,Weeds/Grass,Owner Abated,08/19/2014,Not Available,False,0.0,"1600 S Smith Rd
Urbana, IL
(40.099243863, -88.175955793)",40.099243863,-88.175955793
41,22-000087,01/19/2022,2022,1,2000 Block,East Vermont Avenue,01/19/2022,Municipal Waste,Voluntarily Complied,05/10/2022,Phone,False,0.0,"2000 East Vermont Avenue
Urbana, IL
(40.101025624, -88.182795599)",40.101025624,-88.182795599
42,1407003,07/02/2014,2014,7,1200 BLOCK,W Bradley Av,07/02/2014,Weeds/Grass,Owner Abated,07/10/2014,Not Available,False,0.0,"1200 W Bradley Av
Urbana, IL
(40.127455519, -88.224337187)",40.127455519,-88.224337187
43,1404008,04/09/2014,2014,4,1100 BLOCK,S Lanore Dr,04/09/2014,Weeds/Grass,Owner Abated,04/17/2014,Not Available,False,0.0,"1100 S Lanore Dr
Urbana, IL
(40.103773967, -88.18651345)",40.103773967,-88.18651345
44,22-002917,09/08/2022,2022,9,800 Block,South Vine Street,09/08/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,False,0.0,"800 South Vine Street
Urbana, IL
(40.106468005, -88.204663018)",40.106468005,-88.204663018
46,1012011,12/22/2010,2010,12,1300 BLOCK,E Silver St,12/22/2010,Municipal Waste,City Abated,12/30/2010,Not Available,False,0.0,"1300 E Silver St
Urbana, IL
(40.091547301, -88.192955131)",40.091547301,-88.192955131
48,710036,10/09/2007,2007,10,1200 BLOCK,W Hill St,10/10/2007,Weeds/Grass,Owner Abated,10/18/2007,Not Available,False,0.0,"1200 W Hill St
Urbana, IL
(40.119396844, -88.224145499)",40.119396844,-88.224145499
49,20-000639,04/30/2020,2020,4,1600 Block,South Kinch Street,04/30/2020,Weeds/Grass,Voluntarily Complied,05/08/2020,Email,False,0.0,"1600 South Kinch Street
Urbana, IL
(40.09980847, -88.181278104)",40.09980847,-88.181278104
50,1305018,05/07/2013,2013,5,1300 BLOCK,S Cottage Grove Av,05/07/2013,Weeds/Grass,Owner Abated,05/15/2013,Not Available,False,0.0,"1300 S Cottage Grove Av
Urbana, IL
(40.101742683, -88.19549649)",40.101742683,-88.19549649
51,17-000370,11/28/2017,2017,11,800 Block,S Race Street,11/28/2017,Municipal Waste,Voluntarily Complied,12/18/2017,Phone,False,0.0,"800 S Race Street
Urbana, IL
(40.106563141, -88.208724527)",40.106563141,-88.208724527
53,1704046,04/28/2017,2017,4,900 BLOCK,E Delaware Av,04/28/2017,Weeds/Grass,Owner Abated,05/06/2017,Not Available,False,0.0,"900 E Delaware Av
Urbana, IL
(40.099248251, -88.197806331)",40.099248251,-88.197806331
54,22-000650,03/28/2022,2022,3,2000 Block,South Vawter Street,03/28/2022,Municipal Waste,Voluntarily Complied,04/05/2022,City Staff Reported,False,0.0,"2000 South Vawter Street
Urbana, IL
(40.092994506, -88.191762788)",40.092994506,-88.191762788
55,810037,10/23/2008,2008,10,300 BLOCK,W California Av,10/24/2008,Weeds/Grass,City Abated,11/01/2008,Not Available,False,0.0,"300 W California Av
Urbana, IL
(40.10842674, -88.210385603)",40.10842674,-88.210385603
56,22-001148,05/11/2022,2022,5,300 Block,West Florida Avenue,05/11/2022,Weeds/Grass,Voluntarily Complied,05/19/2022,Phone,False,0.0,"300 West Florida Avenue
Urbana, IL
(40.098337089, -88.210782812)",40.098337089,-88.210782812
57,1704026,04/26/2017,2017,4,300 BLOCK,E Florida Av,04/26/2017,Weeds/Grass,Owner Abated,05/04/2017,Not Available,False,0.0,"300 E Florida Av
Urbana, IL
(40.098387311, -88.20483513)",40.098387311,-88.20483513
58,20-001113,06/23/2020,2020,6,1400 Block,South Lincolnwood Drive,06/23/2020,Weeds/Grass,Voluntarily Complied,07/01/2020,Phone,False,0.0,"1400 South Lincolnwood Drive
Urbana, IL
(40.101663427, -88.185504176)",40.101663427,-88.185504176
59,805030,05/12/2008,2008,5,1200 BLOCK,S Anderson St,05/13/2008,Weeds/Grass,Owner Abated,05/21/2008,Not Available,False,0.0,"1200 S Anderson St
Urbana, IL
(40.103388668, -88.20007698)",40.103388668,-88.20007698
60,707010,07/09/2007,2007,7,1400 BLOCK,S Smith Rd,07/10/2007,Weeds/Grass,City Abated,07/18/2007,Not Available,False,0.0,"1400 S Smith Rd
Urbana, IL
(40.101782684, -88.175965088)",40.101782684,-88.175965088
62,1010040,10/14/2010,2010,10,600 BLOCK,W Illinois St,10/15/2010,Weeds/Grass,Owner Abated,10/23/2010,Not Available,False,0.0,"600 W Illinois St
Urbana, IL
(40.109206791, -88.214585568)",40.109206791,-88.214585568
63,805051,05/15/2008,2008,5,600 BLOCK,E Washington St,05/15/2008,Weeds/Grass,Owner Abated,05/23/2008,Not Available,False,0.0,"600 E Washington St
Urbana, IL
(40.105718002, -88.201186004)",40.105718002,-88.201186004
64,1606018,06/06/2016,2016,6,1200 BLOCK,S Lanore Dr,06/06/2016,Weeds/Grass,Owner Abated,06/14/2016,Not Available,False,0.0,"1200 S Lanore Dr
Urbana, IL
(40.101654282, -88.186453136)",40.101654282,-88.186453136
65,1006022,06/03/2010,2010,6,1200 BLOCK,E Green St,06/04/2010,Weeds/Grass,Owner Abated,06/12/2010,Not Available,False,0.0,"1200 E Green St
Urbana, IL
(40.111007983, -88.194415955)",40.111007983,-88.194415955
66,1608076,08/04/2016,2016,8,900 BLOCK,N Linview Av,08/04/2016,Weeds/Grass,City Abated,08/04/2016,Not Available,False,0.0,"900 N Linview Av
Urbana, IL
(40.120137302, -88.218065102)",40.120137302,-88.218065102
67,1708041,08/29/2017,2017,8,800 BLOCK,W Oregon St,08/29/2017,Municipal Waste,Owner Abated,09/06/2017,Not Available,False,0.0,"800 W Oregon St
Urbana, IL
(40.107485366, -88.217757378)",40.107485366,-88.217757378
68,21-001879,08/18/2021,2021,8,2000 Block,East Colorado Avenue,08/18/2021,Weeds/Grass,Voluntarily Complied,08/26/2021,Phone,False,0.0,"2000 East Colorado Avenue
Urbana, IL
(40.094398404, -88.181816526)",40.094398404,-88.181816526
69,1408035,08/12/2014,2014,8,1500 BLOCK,S Wiley Dr,08/12/2014,Municipal Waste,Owner Abated,08/20/2014,Not Available,False,0.0,"1500 S Wiley Dr
Urbana, IL
(40.099948841, -88.19780506)",40.099948841,-88.19780506
71,22-001473,05/26/2022,2022,5,1000 Block,South Lanore Drive,05/26/2022,Weeds/Grass,Voluntarily Complied,06/03/2022,Phone,False,0.0,"1000 South Lanore Drive
Urbana, IL
(40.104747416, -88.186539849)",40.104747416,-88.186539849
73,21-002553,10/27/2021,2021,10,900 Block,East Pennsylvania Avenue,10/27/2021,Weeds/Grass,Voluntarily Complied,05/10/2022,Phone,False,0.0,"900 East Pennsylvania Avenue
Urbana, IL
(40.100484197, -88.197154248)",40.100484197,-88.197154248
74,21-001079,05/24/2021,2021,5,1200 Block,South Lanore Drive,05/24/2021,Weeds/Grass,Voluntarily Complied,06/01/2021,Phone,False,0.0,"1200 South Lanore Drive
Urbana, IL
(40.101654282, -88.186453136)",40.101654282,-88.186453136
75,1109066,09/21/2011,2011,9,800 BLOCK,W Hill St,09/22/2011,Weeds/Grass,Owner Abated,09/30/2011,Not Available,False,0.0,"800 W Hill St
Urbana, IL
(40.11924761, -88.21700455)",40.11924761,-88.21700455
76,1407054,07/30/2014,2014,7,700 BLOCK,E California Av,07/30/2014,Weeds/Grass,City Abated,07/30/2014,Not Available,False,0.0,"700 E California Av
Urbana, IL
(40.108597307, -88.200165058)",40.108597307,-88.200165058
77,709023,09/10/2007,2007,9,500 BLOCK,W Elm St,09/11/2007,Weeds/Grass,Owner Abated,09/19/2007,Not Available,False,0.0,"500 W Elm St
Urbana, IL
(40.111596758, -88.213255677)",40.111596758,-88.213255677
78,1709010,09/07/2017,2017,9,200 BLOCK,S Hartle Av,09/07/2017,Municipal Waste,Owner Abated,09/15/2017,Not Available,False,0.0,"200 S Hartle Av
Urbana, IL
(40.111760734, -88.192100337)",40.111760734,-88.192100337
79,22-001332,05/18/2022,2022,5,1300 Block,South Abercorn Street,05/18/2022,Weeds/Grass,City Abated,07/20/2022,Phone,False,274.5,"1300 South Abercorn Street
Urbana, IL
(40.102780626, -88.172613187)",40.102780626,-88.172613187
80,1009041,09/28/2010,2010,9,700 BLOCK,E California Av,09/28/2010,Weeds/Grass,City Abated,10/06/2010,Not Available,False,0.0,"700 E California Av
Urbana, IL
(40.108597307, -88.200165058)",40.108597307,-88.200165058
82,1408083,08/25/2014,2014,8,800 BLOCK,S Busey Av,08/25/2014,Municipal Waste,Owner Abated,09/02/2014,Not Available,False,0.0,"800 S Busey Av
Urbana, IL
(40.106443144, -88.217584494)",40.106443144,-88.217584494
83,1207049,07/25/2012,2012,7,3100 BLOCK,B Chatham Dr,07/25/2012,Weeds/Grass,Owner Abated,08/02/2012,Not Available,False,0.0,"3100 B Chatham Dr
Urbana, IL
(40.078179534, -88.186119508)",40.078179534,-88.186119508
84,23-001311,05/15/2023,2023,5,1600 Block,South Abercorn Street,05/15/2023,Weeds/Grass,Voluntarily Complied,05/23/2023,Phone,False,0.0,"1600 South Abercorn Street
Urbana, IL
(40.099194429, -88.172558219)",40.099194429,-88.172558219
85,907053,07/29/2009,2009,7,400 BLOCK,S Johnson St,07/30/2009,Weeds/Grass,Owner Abated,08/07/2009,Not Available,False,0.0,"400 S Johnson St
Urbana, IL
(40.110154227, -88.196769882)",40.110154227,-88.196769882
86,17-000334,11/08/2017,2017,11,100 Block,E Kerr Avenue,11/08/2017,Weeds/Grass,Voluntarily Complied,11/16/2017,Phone,False,0.0,"100 E Kerr Avenue
Urbana, IL
(40.12200666, -88.207544223)",40.12200666,-88.207544223
87,1505084,05/19/2015,2015,5,300 BLOCK,W Florida Av,05/19/2015,Weeds/Grass,Owner Abated,05/27/2015,Not Available,False,0.0,"300 W Florida Av
Urbana, IL
(40.098337089, -88.210782812)",40.098337089,-88.210782812
89,1207034,07/17/2012,2012,7,800 BLOCK,E Oregon St,07/18/2012,Weeds/Grass,Owner Abated,07/26/2012,Not Available,False,0.0,"800 E Oregon St
Urbana, IL
(40.107777957, -88.198995975)",40.107777957,-88.198995975
90,706040,06/13/2007,2007,6,100 BLOCK,W Oregon St,06/14/2007,Weeds/Grass,Owner Abated,06/22/2007,Not Available,False,0.0,"100 W Oregon St
Urbana, IL
(40.107686291, -88.207386212)",40.107686291,-88.207386212
91,1406019,06/06/2014,2014,6,1300 BLOCK,E Laurel Dr,06/06/2014,Municipal Waste,Owner Abated,06/14/2014,Not Available,False,0.0,"1300 E Laurel Dr
Urbana, IL
(40.101485639, -88.192734229)",40.101485639,-88.192734229
92,1107055,07/28/2011,2011,7,2200 BLOCK,S Race St,07/29/2011,Weeds/Grass,Owner Abated,08/06/2011,Not Available,False,0.0,"2200 S Race St
Urbana, IL
(40.088683178, -88.209374485)",40.088683178,-88.209374485
93,20-000689,05/06/2020,2020,5,100 Block,North Webber Street,05/06/2020,Weeds/Grass,Voluntarily Complied,05/14/2020,Phone,False,0.0,"100 North Webber Street
Urbana, IL
(40.113038009, -88.199136043)",40.113038009,-88.199136043
94,1705090,05/26/2017,2017,5,1500 BLOCK,S Montgomery St,05/26/2017,Municipal Waste,Owner Abated,06/03/2017,Not Available,False,0.0,"1500 S Montgomery St
Urbana, IL
(40.099997097, -88.173709564)",40.099997097,-88.173709564
95,1301017,01/29/2013,2013,1,1300 BLOCK,E Michigan Av,01/29/2013,Municipal Waste,City Abated,02/06/2013,Not Available,False,0.0,"1300 E Michigan Av
Urbana, IL
(40.101552624, -88.192799904)",40.101552624,-88.192799904
96,22-002944,09/12/2022,2022,9,100 Block,South McCullough Street,09/12/2022,Municipal Waste,Voluntarily Complied,10/04/2022,Phone,False,0.0,"100 South McCullough Street
Urbana, IL
(40.112293609, -88.213123912)",40.112293609,-88.213123912
97,1306016,06/11/2013,2013,6,900 BLOCK,E University Av,06/11/2013,Municipal Waste,Owner Abated,06/19/2013,Not Available,False,0.0,"900 E University Av
Urbana, IL
(40.116384495, -88.19727158)",40.116384495,-88.19727158
98,22-001170,05/12/2022,2022,5,1400 Block,West Beech Street,05/12/2022,Weeds/Grass,Voluntarily Complied,05/23/2022,Phone,False,0.0,"1400 West Beech Street
Urbana, IL
(40.122226836, -88.227235477)",40.122226836,-88.227235477
100,905004,05/04/2009,2009,5,1400 BLOCK,W Beslin St,05/05/2009,Weeds/Grass,City Abated,05/13/2009,Not Available,False,0.0,"1400 W Beslin St
Urbana, IL
(40.120336848, -88.227205544)",40.120336848,-88.227205544
102,23-002226,08/01/2023,2023,8,300 Block,East Willard Street,08/01/2023,Weeds/Grass,City Abated,12/11/2023,Phone,False,252.5,"300 East Willard Street
Urbana, IL
(40.084397713, -88.204075637)",40.084397713,-88.204075637
103,1505101,05/27/2015,2015,5,900 BLOCK,E Florida Av,05/27/2015,Weeds/Grass,Owner Abated,06/04/2015,Not Available,False,0.0,"900 E Florida Av
Urbana, IL
(40.098427615, -88.19779551)",40.098427615,-88.19779551
104,708076,08/22/2007,2007,8,300 BLOCK,E Thompson St,08/22/2007,Municipal Waste,Owner Abated,08/24/2007,Not Available,False,0.0,"300 E Thompson St
Urbana, IL
(40.125996666, -88.20528422)",40.125996666,-88.20528422
106,19-002298,10/28/2019,2019,10,1800 Block,South Larch Place,10/28/2019,Municipal Waste,Voluntarily Complied,11/05/2019,Phone,False,0.0,"1800 South Larch Place
Urbana, IL
(40.096732924, -88.197014795)",40.096732924,-88.197014795
107,22-001396,05/23/2022,2022,5,2000 Block,East Summit Drive,05/23/2022,Weeds/Grass,Voluntarily Complied,05/31/2022,Phone,False,0.0,"2000 East Summit Drive
Urbana, IL
(40.083329299, -88.182537809)",40.083329299,-88.182537809
108,1509045,09/21/2015,2015,9,500 BLOCK,W High St,09/21/2015,Municipal Waste,Owner Abated,09/29/2015,Not Available,False,0.0,"500 W High St
Urbana, IL
(40.109926211, -88.21322635)",40.109926211,-88.21322635
110,1204017,04/11/2012,2012,4,100 BLOCK,W Florida Av,04/12/2012,Weeds/Grass,Owner Abated,04/20/2012,Not Available,False,0.0,"100 W Florida Av
Urbana, IL
(40.09836608, -88.207196441)",40.09836608,-88.207196441
111,1208017,08/08/2012,2012,8,1700 BLOCK,E Fairlawn Dr,08/09/2012,Municipal Waste,Owner Abated,08/17/2012,Not Available,False,0.0,"1700 E Fairlawn Dr
Urbana, IL
(40.100133386, -88.187284174)",40.100133386,-88.187284174
113,19-001812,08/26/2019,2019,8,400 Block,West Elm Street,08/26/2019,Weeds/Grass,Voluntarily Complied,09/03/2019,Email,False,0.0,"400 West Elm Street
Urbana, IL
(40.111606751, -88.211865599)",40.111606751,-88.211865599
115,21-002086,09/13/2021,2021,9,800 Block,South Webber Street,09/13/2021,Weeds/Grass,Voluntarily Complied,09/28/2021,Phone,False,0.0,"800 South Webber Street
Urbana, IL
(40.106685661, -88.198985005)",40.106685661,-88.198985005
116,22-002371,07/26/2022,2022,7,1500 Block,South Philo Road,07/26/2022,Weeds/Grass,Voluntarily Complied,08/03/2022,Phone,False,0.0,"1500 South Philo Road
Urbana, IL
(40.099993213, -88.190654446)",40.099993213,-88.190654446
120,22-002525,08/08/2022,2022,8,300 Block,West Illinois Street,08/08/2022,Municipal Waste,Voluntarily Complied,08/16/2022,Phone,False,0.0,"300 West Illinois Street
Urbana, IL
(40.109370994, -88.210472012)",40.109370994,-88.210472012
121,20-001896,09/18/2020,2020,9,2200 Block,"East ""Country Squire"" Drive",09/18/2020,Weeds/Grass,City Abated,11/17/2020,Phone,False,158.0,"2200 East Country Squire Drive
Urbana, IL
(40.102825175, -88.178928937)",40.102825175,-88.178928937
122,20-001780,09/08/2020,2020,9,700 Block,West Washington Street,09/08/2020,Municipal Waste,Voluntarily Complied,09/16/2020,Phone,False,0.0,"700 West Washington Street
Urbana, IL
(40.105606861, -88.216065485)",40.105606861,-88.216065485
123,1005029,05/06/2010,2010,5,500 BLOCK,S McCullough St,05/07/2010,Weeds/Grass,City Abated,05/15/2010,Not Available,False,0.0,"500 S McCullough St
Urbana, IL
(40.1091127, -88.213065058)",40.1091127,-88.213065058
124,1606005,06/01/2016,2016,6,2400 BLOCK,S Grange Dr,06/01/2016,Weeds/Grass,Owner Abated,06/09/2016,Not Available,False,0.0,"2400 S Grange Dr
Urbana, IL
(40.086079939, -88.20719112)",40.086079939,-88.20719112
125,19-001327,07/01/2019,2019,7,1100 Block,South Austin Drive,07/01/2019,Municipal Waste,Voluntarily Complied,07/09/2019,Phone,False,0.0,"1100 South Austin Drive
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
127,1705077,05/23/2017,2017,5,1100 BLOCK,E Mitchem Dr,05/24/2017,Weeds/Grass,City Abated,06/01/2017,Not Available,False,0.0,"1100 E Mitchem Dr
Urbana, IL
(40.092440925, -88.195488563)",40.092440925,-88.195488563
128,1608006,08/02/2016,2016,8,1900 BLOCK,E Weaver St,08/02/2016,Municipal Waste,City Abated,08/10/2016,Not Available,False,0.0,"1900 E Weaver St
Urbana, IL
(40.104308005, -88.184626056)",40.104308005,-88.184626056
130,18-036563,12/20/2018,2018,12,2100 Block,"East ""Country Squire"" Drive",12/20/2018,Municipal Waste,Voluntarily Complied,01/16/2019,Phone,False,0.0,"2100 East Country Squire Drive
Urbana, IL
(40.102528353, -88.18133652)",40.102528353,-88.18133652
131,703040,03/26/2007,2007,3,700 BLOCK,W California Av,03/28/2007,Municipal Waste,Owner Abated,04/04/2007,Not Available,False,0.0,"700 W California Av
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
132,23-001028,04/26/2023,2023,4,1300 Block,West Hill Street,04/26/2023,Weeds/Grass,Voluntarily Complied,05/08/2023,Phone,False,0.0,"1300 West Hill Street
Urbana, IL
(40.119386772, -88.225775599)",40.119386772,-88.225775599
133,1708006,08/04/2017,2017,8,800 BLOCK,E Fairlawn Dr.,08/04/2017,Weeds/Grass,City Abated,08/12/2017,Not Available,False,0.0,"800 E Fairlawn Dr
Urbana, IL
(40.103346664, -88.19894555)",40.103346664,-88.19894555
134,1308006,08/07/2013,2013,8,1800 BLOCK,Larch Pl,08/07/2013,Municipal Waste,Owner Abated,08/15/2013,Not Available,False,0.0,"1800 Larch Pl
Urbana, IL
(40.096732924, -88.197014795)",40.096732924,-88.197014795
135,1607037,07/28/2016,2016,7,700 BLOCK,W Stoughton St,07/28/2016,Municipal Waste,Owner Abated,08/05/2016,Not Available,False,0.0,"700 W Stoughton St
Urbana, IL
(40.113226834, -88.216059848)",40.113226834,-88.216059848
138,20-001614,08/18/2020,2020,8,1600 Block,"South ""Cottage Grove"" Avenue",08/18/2020,Weeds/Grass,Voluntarily Complied,08/26/2020,Phone,False,0.0,"1600 South Cottage Grove Avenue
Urbana, IL
(40.09916271, -88.195475059)",40.09916271,-88.195475059
141,20-001636,08/19/2020,2020,8,200 Block,North Harvey Street,08/19/2020,Municipal Waste,Voluntarily Complied,08/31/2020,Phone,False,0.0,"200 North Harvey Street
Urbana, IL
(40.113616856, -88.222324451)",40.113616856,-88.222324451
142,711006,11/07/2007,2007,11,2200 BLOCK,E Michigan Av,11/07/2007,Municipal Waste,Owner Abated,11/15/2007,Not Available,False,0.0,"2200 E Michigan Av
Urbana, IL
(40.101861593, -88.179403556)",40.101861593,-88.179403556
144,21-001039,05/20/2021,2021,5,700 Block,West Springfield Avenue,05/20/2021,Weeds/Grass,Voluntarily Complied,05/28/2021,Phone,False,0.0,"700 West Springfield Avenue
Urbana, IL
(40.112851404, -88.216100077)",40.112851404,-88.216100077
145,1509047,09/23/2015,2015,9,1800 BLOCK,S Vine St,09/23/2015,Weeds/Grass,Owner Abated,10/01/2015,Not Available,False,0.0,"1800 S Vine St
Urbana, IL
(40.096444195, -88.204823169)",40.096444195,-88.204823169
146,1405072,05/27/2014,2014,5,500 BLOCK,W Green St,05/27/2014,Weeds/Grass,Owner Abated,06/04/2014,Not Available,False,0.0,"500 W Green St
Urbana, IL
(40.110736204, -88.213236316)",40.110736204,-88.213236316
147,21-000975,05/13/2021,2021,5,1600 Block,East Lexington Drive,05/13/2021,Weeds/Grass,Voluntarily Complied,05/21/2021,Phone,False,0.0,"1600 East Lexington Drive
Urbana, IL
(40.07545775, -88.188545667)",40.07545775,-88.188545667
148,22-001245,05/16/2022,2022,5,400 Block,South Busey Avenue,05/16/2022,Weeds/Grass,Voluntarily Complied,05/24/2022,Phone,False,0.0,"400 South Busey Avenue
Urbana, IL
(40.109753337, -88.217644274)",40.109753337,-88.217644274
149,1005056,05/13/2010,2010,5,800 BLOCK,S Urbana Av,05/14/2010,Weeds/Grass,Owner Abated,05/22/2010,Not Available,False,0.0,"800 S Urbana Av
Urbana, IL
(40.106636288, -88.203544924)",40.106636288,-88.203544924
150,1508031,08/13/2015,2015,8,1400 BLOCK,E Michigan Av,08/13/2015,Municipal Waste,Owner Abated,08/21/2015,Not Available,False,0.0,"1400 E Michigan Av
Urbana, IL
(40.101732473, -88.191813257)",40.101732473,-88.191813257
151,21-001257,06/09/2021,2021,6,900 Block,East Park Street,06/09/2021,Weeds/Grass,Voluntarily Complied,06/17/2021,Phone,False,0.0,"900 East Park Street
Urbana, IL
(40.117287287, -88.197265078)",40.117287287,-88.197265078
152,1505058,05/14/2015,2015,5,800 BLOCK,W Sunset Dr,05/14/2015,Weeds/Grass,Owner Abated,05/22/2015,Not Available,False,0.0,"800 W Sunset Dr
Urbana, IL
(40.123746664, -88.217075763)",40.123746664,-88.217075763
153,908026,08/12/2009,2009,8,600 BLOCK,W Illinois St,08/13/2009,Weeds/Grass,Owner Abated,08/21/2009,Not Available,False,0.0,"600 W Illinois St
Urbana, IL
(40.109206791, -88.214585568)",40.109206791,-88.214585568
155,1001009,01/22/2010,2010,1,800 BLOCK,E Hawthorne Dr,01/25/2010,Municipal Waste,Owner Abated,02/02/2010,Not Available,False,0.0,"800 E Hawthorne Dr
Urbana, IL
(40.102449079, -88.198804548)",40.102449079,-88.198804548
